,stationid_o,stationid_d,Eudistance
0,1,1,0.0
1,1,2,1615.93088293
2,1,3,6057.61882458
3,1,4,22288.90834967
4,1,5,19135.10568633
5,1,6,10826.29973528
6,1,7,20908.49975985
7,1,8,7950.19780192
8,1,9,4175.5417316
9,1,10,13646.55446941
10,1,11,15933.80626446
11,1,12,24239.08479414
12,1,13,26137.78907029
13,1,14,27268.05816348
14,1,15,39062.99601227
15,1,16,25098.51676102
16,1,17,33859.07975438
17,1,18,23412.83243363
18,1,19,20365.19835164
19,1,20,17009.14614975
20,1,21,30480.86048977
21,1,22,42201.45481574
22,1,23,32368.29400713
23,1,24,37610.86497763
24,1,25,22078.63204103
25,1,26,45397.2311131
26,1,27,29848.29392695
27,1,28,28603.38302635
28,1,29,35895.19751746
29,1,30,31768.56472673
30,1,31,33560.54709495
31,1,32,32697.72131882
32,1,33,37565.97723315
33,1,34,42823.91380913
34,1,35,44486.34259579
35,1,36,39319.0984058
36,1,37,33974.30227236
37,1,38,35162.00576204
38,1,39,33160.47794676
39,1,40,34432.74495793
40,2,1,1615.93088293
41,2,2,0.0
42,2,3,4663.49022602
43,2,4,20699.68852277
44,2,5,17528.73782213
45,2,6,9272.7903169
46,2,7,19312.264841
47,2,8,6503.54635524
48,2,9,2843.04709105
49,2,10,12055.19644874
50,2,11,14323.53050789
51,2,12,22628.21951476
52,2,13,24534.36156341
53,2,14,25664.97874469
54,2,15,37544.28104695
55,2,16,23490.62574454
56,2,17,32305.209552
57,2,18,21800.44572096
58,2,19,18749.3842278
59,2,20,15393.33166396
60,2,21,28905.22070396
61,2,22,40713.55125838
62,2,23,30810.61809438
63,2,24,36080.9619928
64,2,25,20462.71118477
65,2,26,43938.99591072
66,2,27,28269.38199867
67,2,28,27014.11041972
68,2,29,34348.31859485
69,2,30,30402.00134514
70,2,31,32086.44073034
71,2,32,31293.17494475
72,2,33,36012.7060018
73,2,34,41271.14449111
74,2,35,42921.48340532
75,2,36,37780.98223778
76,2,37,32486.83378302
77,2,38,33633.82019949
78,2,39,31711.52166658
79,2,40,32929.17440187
80,3,1,6057.61882458
81,3,2,4663.49022602
82,3,3,0.0
83,3,4,16558.47785758
84,3,5,13616.16610633
85,3,6,5037.17549663
86,3,7,15247.08652047
87,3,8,1917.01804601
88,3,9,1885.56631844
89,3,10,8043.36828654
90,3,11,10546.5571899
91,3,12,19275.88912051
92,3,13,21325.83714664
93,3,14,22450.46587413
94,3,15,35111.17868726
95,3,16,20202.90448964
96,3,17,29620.1437322
97,3,18,18411.90336315
98,3,19,15129.92333649
99,3,20,11926.70916812
100,3,21,26032.94678328
101,3,22,38480.74324048
102,3,23,28103.26437668
103,3,24,33571.01408498
104,3,25,16872.13113496
105,3,26,41880.48878487
106,3,27,25366.54967807
107,3,28,23996.80063225
108,3,29,31709.5269674
109,3,30,28989.66862848
110,3,31,30015.44112082
111,3,32,29658.88174392
112,3,33,33305.29820342
113,3,34,38537.88428975
114,3,35,40068.74044506
115,3,36,35192.86130489
116,3,37,30321.15058808
117,3,38,31156.55095632
118,3,39,29806.85170667
119,3,40,30645.21192973
120,4,1,22288.90834967
121,4,2,20699.68852277
122,4,3,16558.47785758
123,4,4,0.0
124,4,5,3479.87000711
125,4,6,11533.34469947
126,4,7,1483.98964587
127,4,8,14685.37668773
128,4,9,18349.92682878
129,4,10,8644.6319129
130,4,11,6607.69152695
131,4,12,6156.78253246
132,4,13,8091.69234785
133,4,14,8848.56366269
134,4,15,22557.8780072
135,4,16,7000.31008767
136,4,17,16794.02646456
137,4,18,5568.28901823
138,4,19,3982.50603882
139,4,20,6408.38901269
140,4,21,13069.0973638
141,4,22,26315.52791369
142,4,23,15420.7035558
143,4,24,20903.13238122
144,4,25,3966.27778011
145,4,26,30043.24937845
146,4,27,12411.69851528
147,4,28,10867.27848857
148,4,29,18789.01014286
149,4,30,21111.01944656
150,4,31,19439.67208049
151,4,32,20803.93245202
152,4,33,19980.40493091
153,4,34,24743.8147043
154,4,35,25834.72262188
155,4,36,22104.33542817
156,4,37,19336.17131304
157,4,38,18888.27731384
158,4,39,19899.20012292
159,4,40,19165.27529958
160,5,1,19135.10568633
161,5,2,17528.73782213
162,5,3,13616.16610633
163,5,4,3479.87000711
164,5,5,0.0
165,5,6,8596.44190084
166,5,7,1997.81416612
167,5,8,11815.78835572
168,5,9,15329.78205628
169,5,10,5573.08967952
170,5,11,3230.51216324
171,5,12,6414.86746833
172,5,13,8613.5315459
173,5,14,9634.14182779
174,5,15,23305.31295414
175,5,16,7405.49774445
176,5,17,17524.72952557
177,5,18,5561.05393376
178,5,19,2203.18348153
179,5,20,2977.0065584
180,5,21,13735.73055715
181,5,22,26976.50386177
182,5,23,16046.88825045
183,5,24,21664.87955118
184,5,25,3680.55414007
185,5,26,30636.57601973
186,5,27,13045.87662325
187,5,28,11512.72466846
188,5,29,19610.24616873
189,5,30,20249.03263109
190,5,31,19377.67608743
191,5,32,20222.35444578
192,5,33,20998.87650998
193,5,34,26032.78220897
194,5,35,27329.12377144
195,5,36,23059.52428799
196,5,37,19416.60914216
197,5,38,19443.6123431
198,5,39,19623.9848769
199,5,40,19422.85325461
200,6,1,10826.29973528
201,6,2,9272.7903169
202,6,3,5037.17549663
203,6,4,11533.34469947
204,6,5,8596.44190084
205,6,6,0.0
206,6,7,10210.64639006
207,6,8,3222.09203955
208,6,9,6817.71954899
209,6,10,3040.4988799
210,6,11,5616.84345987
211,6,12,14453.79139216
212,6,13,16565.48769606
213,6,14,17675.82269924
214,6,15,30733.94761327
215,6,16,15407.88450518
216,6,17,25113.63296313
217,6,18,13578.84281989
218,6,19,10210.97368197
219,6,20,7173.97993422
220,6,21,21435.19517153
221,6,22,34221.80871099
222,6,23,23595.32880777
223,6,24,29151.92090429
224,6,25,11949.65562376
225,6,26,37726.64217842
226,6,27,20755.44865244
227,6,28,19326.19886089
228,6,29,27217.22545382
229,6,30,25505.79779612
230,6,31,25957.11965339
231,6,32,25968.16847894
232,6,33,28757.23124752
233,6,34,33946.35614885
234,6,35,35401.25835435
235,6,36,30710.36558251
236,6,37,26184.67474145
237,6,38,26779.86062452
238,6,39,25885.92938197
239,6,40,26414.71337521
240,7,1,20908.49975985
241,7,2,19312.264841
242,7,3,15247.08652047
243,7,4,1483.98964587
244,7,5,1997.81416612
245,7,6,10210.64639006
246,7,7,0.0
247,7,8,13395.64892575
248,7,9,17013.5820022
249,7,10,7265.71494301
250,7,11,5139.83465738
251,7,12,6084.55553051
252,7,13,8195.06799129
253,7,14,9085.20669118
254,7,15,22870.72900427
255,7,16,7023.55549851
256,7,17,17078.71941464
257,7,18,5349.77452897
258,7,19,2909.36151898
259,7,20,4946.63019594
260,7,21,13302.42775742
261,7,22,26599.9078732
262,7,23,15652.53945315
263,7,24,21217.35032359
264,7,25,3497.38296969
265,7,26,30305.21224502
266,7,27,12625.1634808
267,7,28,11069.85688937
268,7,29,19121.69224109
269,7,30,20732.0008302
270,7,31,19394.20816341
271,7,32,20542.41161471
272,7,33,20403.03696135
273,7,34,25296.01243118
274,7,35,26477.89880916
275,7,36,22505.80853259
276,7,37,19351.27500573
277,7,38,19106.0814657
278,7,39,19764.53556331
279,7,40,19255.76104655
280,8,1,7950.19780192
281,8,2,6503.54635524
282,8,3,1917.01804601
283,8,4,14685.37668773
284,8,5,11815.78835572
285,8,6,3222.09203955
286,8,7,13395.64892575
287,8,8,0.0
288,8,9,3794.20243009
289,8,10,6261.51642303
290,8,11,8821.24615574
291,8,12,17629.99042864
292,8,13,19718.61878314
293,8,14,20835.81292147
294,8,15,33720.89503977
295,8,16,18574.21163046
296,8,17,28159.2219141
297,8,18,16758.47493036
298,8,19,13417.77397766
299,8,20,10305.25445547
300,8,21,24520.62060783
301,8,22,37151.89788022
302,8,23,26640.23620555
303,8,24,32158.32715255
304,8,25,15158.69464589
305,8,26,40605.26399866
306,8,27,23846.41981476
307,8,28,22442.92863272
308,8,29,30257.68253014
309,8,30,28003.28069432
310,8,31,28774.20718675
311,8,32,28583.51463247
312,8,33,31825.09048523
313,8,34,37036.68549004
314,8,35,38525.33796487
315,8,36,33748.49798384
316,8,37,29043.67726258
317,8,38,29763.29779148
318,8,39,28628.54022
319,8,40,29323.25444818
320,9,1,4175.5417316
321,9,2,2843.04709105
322,9,3,1885.56631844
323,9,4,18349.92682878
324,9,5,15329.78205628
325,9,6,6817.71954899
326,9,7,17013.5820022
327,9,8,3794.20243009
328,9,9,0.0
329,9,10,9766.1904734
330,9,11,12200.32884885
331,9,12,20813.45958378
332,9,13,22818.03512092
333,9,14,23947.45931633
334,9,15,36351.07348084
335,9,16,21720.20509443
336,9,17,30942.67635321
337,9,18,19959.76989876
338,9,19,16748.31675752
339,9,20,13475.10426557
340,9,21,27416.0028599
341,9,22,39652.01224661
342,9,23,29431.05595295
343,9,24,34836.58828408
344,9,25,18486.03039178
345,9,26,42991.73398651
346,9,27,26759.16748417
347,9,28,25427.3726552
348,9,29,33018.83884367
349,9,30,29835.39052115
350,9,31,31113.10766622
351,9,32,30591.10607583
352,9,33,34641.5977823
353,9,34,39889.6246793
354,9,35,41464.03461047
355,9,36,36488.91148684
356,9,37,31454.71265574
357,9,38,32406.38888997
358,9,39,30841.71912675
359,9,40,31823.20416742
360,10,1,13646.55446941
361,10,2,12055.19644874
362,10,3,8043.36828654
363,10,4,8644.6319129
364,10,5,5573.08967952
365,10,6,3040.4988799
366,10,7,7265.71494301
367,10,8,6261.51642303
368,10,9,9766.1904734
369,10,10,0.0
370,10,11,2605.69911651
371,10,12,11456.29408789
372,10,13,13591.38117568
373,10,14,14692.36853713
374,10,15,27916.70062783
375,10,16,12420.42462745
376,10,17,22243.54946654
377,10,18,10578.61803913
378,10,19,7182.54147889
379,10,20,4293.27097469
380,10,21,18528.46139137
381,10,22,31458.1581153
382,10,23,20728.82615662
383,10,24,26316.76111131
384,10,25,8917.60168605
385,10,26,35010.55512122
386,10,27,17843.88130842
387,10,28,16388.55722537
388,10,29,24349.20674124
389,10,30,23232.70091057
390,10,31,23332.92407567
391,10,32,23563.92247566
392,10,33,25858.5882074
393,10,34,31020.51762587
394,10,35,32441.64385108
395,10,36,27840.16448521
396,10,37,23514.04619621
397,10,38,23973.25713484
398,10,39,23343.28862802
399,10,40,23689.65127281
400,11,1,15933.80626446
401,11,2,14323.53050789
402,11,3,10546.5571899
403,11,4,6607.69152695
404,11,5,3230.51216324
405,11,6,5616.84345987
406,11,7,5139.83465738
407,11,8,8821.24615574
408,11,9,12200.32884885
409,11,10,2605.69911651
410,11,11,0.0
411,11,12,8850.99007797
412,11,13,10986.8414569
413,11,14,12086.78124821
414,11,15,25368.76623929
415,11,16,9814.75131438
416,11,17,19672.58168661
417,11,18,7973.5989568
418,11,19,4596.5534375
419,11,20,1840.36790083
420,11,21,15943.22570348
421,11,22,28937.26573525
422,11,23,18160.66663208
423,11,24,23760.52756753
424,11,25,6337.58943395
425,11,26,32514.82777471
426,11,27,15257.03048716
427,11,28,13792.55503736
428,11,29,21777.99468466
429,11,30,21076.89207921
430,11,31,20911.20455139
431,11,32,21303.80689629
432,11,33,23273.47855702
433,11,34,28424.82134614
434,11,35,29837.88793506
435,11,36,25266.38875551
436,11,37,21060.11081118
437,11,38,21434.06554003
438,11,39,20979.88647083
439,11,40,21199.76363289
440,12,1,24239.08479414
441,12,2,22628.21951476
442,12,3,19275.88912051
443,12,4,6156.78253246
444,12,5,6414.86746833
445,12,6,14453.79139216
446,12,7,6084.55553051
447,12,8,17629.99042864
448,12,9,20813.45958378
449,12,10,11456.29408789
450,12,11,8850.99007797
451,12,12,0.0
452,12,13,2198.83979217
453,12,14,3250.66074939
454,12,15,16906.91271874
455,12,16,991.13287101
456,12,17,11118.46890725
457,12,18,879.09049794
458,12,19,4339.56690585
459,12,20,7349.74068882
460,12,21,7327.06172268
461,12,22,20600.52260576
462,12,23,9652.6740557
463,12,24,15261.96800994
464,12,25,2743.74358986
465,12,26,24283.39959446
466,12,27,6638.57522132
467,12,28,5099.13365597
468,12,29,13198.49668773
469,12,30,15019.43266381
470,12,31,13328.6315926
471,12,32,14655.10517896
472,12,33,14587.19088475
473,12,34,19653.32413227
474,12,35,21009.5944563
475,12,36,16644.65743945
476,12,37,13269.38626312
477,12,38,13078.12328668
478,12,39,13750.14327383
479,12,40,13174.32285663
480,13,1,26137.78907029
481,13,2,24534.36156341
482,13,3,21325.83714664
483,13,4,8091.69234785
484,13,5,8613.5315459
485,13,6,16565.48769606
486,13,7,8195.06799129
487,13,8,19718.61878314
488,13,9,22818.03512092
489,13,10,13591.38117568
490,13,11,10986.8414569
491,13,12,2198.83979217
492,13,13,0.0
493,13,14,1131.33114867
494,13,15,14720.39768995
495,13,16,1208.05240144
496,13,17,8928.32631158
497,13,18,3064.2546114
498,13,19,6526.88940153
499,13,20,9414.06792896
500,13,21,5137.01231288
501,13,22,18426.01920197
502,13,23,7473.67367095
503,13,24,13072.93408584
504,13,25,4938.92564405
505,13,26,22119.65545608
506,13,27,4450.97387875
507,13,28,2904.14024005
508,13,29,11003.31340262
509,13,30,13489.06140456
510,13,31,11363.42613794
511,13,32,12950.28344557
512,13,33,12389.04444946
513,13,34,17468.47789793
514,13,35,18851.48377399
515,13,36,14446.07063692
516,13,37,11244.78210327
517,13,38,10915.63608029
518,13,39,11884.49273914
519,13,40,11087.12839209
520,14,1,27268.05816348
521,14,2,25664.97874469
522,14,3,22450.46587413
523,14,4,8848.56366269
524,14,5,9634.14182779
525,14,6,17675.82269924
526,14,7,9085.20669118
527,14,8,20835.81292147
528,14,9,23947.45931633
529,14,10,14692.36853713
530,14,11,12086.78124821
531,14,12,3250.66074939
532,14,13,1131.33114867
533,14,14,0.0
534,14,15,13785.58326978
535,14,16,2272.73797433
536,14,17,7993.80898597
537,14,18,4128.785217
538,14,19,7589.37261193
539,14,20,10533.45949518
540,14,21,4228.56058589
541,14,22,17517.77699335
542,14,23,6582.55001309
543,14,24,12132.45598587
544,14,25,5953.91908364
545,14,26,21230.27063358
546,14,27,3564.02118345
547,14,28,2020.33923392
548,14,29,10040.94328273
549,14,30,13254.49068792
550,14,31,10764.01383983
551,14,32,12582.73375561
552,14,33,11373.32799709
553,14,34,16407.45328568
554,14,35,17760.28180091
555,14,36,13452.18883133
556,14,37,10578.80525524
557,14,38,10047.56777988
558,14,39,11382.2116555
559,14,40,10341.91343964
560,15,1,39062.99601227
561,15,2,37544.28104695
562,15,3,35111.17868726
563,15,4,22557.8780072
564,15,5,23305.31295414
565,15,6,30733.94761327
566,15,7,22870.72900427
567,15,8,33720.89503977
568,15,9,36351.07348084
569,15,10,27916.70062783
570,15,11,25368.76623929
571,15,12,16906.91271874
572,15,13,14720.39768995
573,15,14,13785.58326978
574,15,15,0.0
575,15,16,15923.14730967
576,15,17,5794.37078123
577,15,18,17746.72377112
578,15,19,21159.66436062
579,15,20,23624.34608328
580,15,21,9583.56132908
581,15,22,3775.71334957
582,15,23,7258.46115172
583,15,24,1655.10064387
584,15,25,19650.11609753
585,15,26,7518.70326809
586,15,27,10269.7463415
587,15,28,11818.49079139
588,15,29,3771.95687573
589,15,30,10323.10464553
590,15,31,6067.27468086
591,15,32,8633.49019246
592,15,33,3007.45828711
593,15,34,4635.28095697
594,15,35,6689.72311859
595,15,36,1444.15632463
596,15,37,5411.38605319
597,15,38,3957.60469379
598,15,39,7031.00960203
599,15,40,4719.55399511
600,16,1,25098.51676102
601,16,2,23490.62574454
602,16,3,20202.90448964
603,16,4,7000.31008767
604,16,5,7405.49774445
605,16,6,15407.88450518
606,16,7,7023.55549851
607,16,8,18574.21163046
608,16,9,21720.20509443
609,16,10,12420.42462745
610,16,11,9814.75131438
611,16,12,991.13287101
612,16,13,1208.05240144
613,16,14,2272.73797433
614,16,15,15923.14730967
615,16,16,0.0
616,16,17,10132.69211639
617,16,18,1861.88510871
618,16,19,5326.16138407
619,16,20,8278.21639785
620,16,21,6341.03279512
621,16,22,19622.74241788
622,16,23,8671.9995909
623,16,24,14276.89442193
624,16,25,3731.45283841
625,16,26,23310.89945795
626,16,27,5653.53350341
627,16,28,4110.53421006
628,16,29,12210.15747768
629,16,30,14322.03499043
630,16,31,12441.91455971
631,16,32,13881.75825883
632,16,33,13596.06480566
633,16,34,18666.1224305
634,16,35,20032.22886181
635,16,36,15654.12300943
636,16,37,12357.08417078
637,16,38,12105.42355928
638,16,39,12906.54014358
639,16,40,12234.89346804
640,17,1,33859.07975438
641,17,2,32305.209552
642,17,3,29620.1437322
643,17,4,16794.02646456
644,17,5,17524.72952557
645,17,6,25113.63296313
646,17,7,17078.71941464
647,17,8,28159.2219141
648,17,9,30942.67635321
649,17,10,22243.54946654
650,17,11,19672.58168661
651,17,12,11118.46890725
652,17,13,8928.32631158
653,17,14,7993.80898597
654,17,15,5794.37078123
655,17,16,10132.69211639
656,17,17,0.0
657,17,18,11963.83281981
658,17,19,15392.30676875
659,17,20,17961.9722032
660,17,21,3791.659645
661,17,22,9526.98584722
662,17,23,1519.05257633
663,17,24,4144.71732982
664,17,25,13862.2067617
665,17,26,13249.43654917
666,17,27,4479.97053624
667,17,28,6025.12625465
668,17,29,2105.67112927
669,17,30,9319.74990113
670,17,31,4748.48633498
671,17,32,7837.21363921
672,17,33,3707.57004922
673,17,34,8966.01802597
674,17,35,10667.67558287
675,17,36,5597.69421232
676,17,37,4090.11453515
677,17,38,2219.66661618
678,17,39,5940.47758059
679,17,40,3292.91126745
680,18,1,23412.83243363
681,18,2,21800.44572096
682,18,3,18411.90336315
683,18,4,5568.28901823
684,18,5,5561.05393376
685,18,6,13578.84281989
686,18,7,5349.77452897
687,18,8,16758.47493036
688,18,9,19959.76989876
689,18,10,10578.61803913
690,18,11,7973.5989568
691,18,12,879.09049794
692,18,13,3064.2546114
693,18,14,4128.785217
694,18,15,17746.72377112
695,18,16,1861.88510871
696,18,17,11963.83281981
697,18,18,0.0
698,18,19,3464.28568122
699,18,20,6488.80237043
700,18,21,8174.71702422
701,18,22,21428.54710696
702,18,23,10488.97489416
703,18,24,16104.80683738
704,18,25,1916.56874815
705,18,26,25102.05536358
706,18,27,7484.82348316
707,18,28,5954.21848811
708,18,29,14049.53991895
709,18,30,15543.19641729
710,18,31,14045.78747126
711,18,32,15253.68789499
712,18,33,15452.02059697
713,18,34,20528.0023392
714,18,35,21888.39171991
715,18,36,17503.06531405
716,18,37,14014.84128895
717,18,38,13899.84813529
718,18,39,14421.22185892
719,18,40,13951.57360214
720,19,1,20365.19835164
721,19,2,18749.3842278
722,19,3,15129.92333649
723,19,4,3982.50603882
724,19,5,2203.18348153
725,19,6,10210.97368197
726,19,7,2909.36151898
727,19,8,13417.77397766
728,19,9,16748.31675752
729,19,10,7182.54147889
730,19,11,4596.5534375
731,19,12,4339.56690585
732,19,13,6526.88940153
733,19,14,7589.37261193
734,19,15,21159.66436062
735,19,16,5326.16138407
736,19,17,15392.30676875
737,19,18,3464.28568122
738,19,19,0.0
739,19,20,3383.13017313
740,19,21,11611.89314289
741,19,22,24813.28607525
742,19,23,13903.38976121
743,19,24,19524.97127445
744,19,25,1742.41901873
745,19,26,28462.05696871
746,19,27,10921.20529977
747,19,28,9404.73012938
748,19,29,17486.20188626
749,19,30,18116.4773901
750,19,31,17174.49260591
751,19,32,18049.01531717
752,19,33,18909.18957159
753,19,34,23992.23114322
754,19,35,25343.35760536
755,19,36,20950.61877232
756,19,37,17215.50501214
757,19,38,17279.36412614
758,19,39,17425.72188419
759,19,40,17230.13861439
760,20,1,17009.14614975
761,20,2,15393.33166396
762,20,3,11926.70916812
763,20,4,6408.38901269
764,20,5,2977.0065584
765,20,6,7173.97993422
766,20,7,4946.63019594
767,20,8,10305.25445547
768,20,9,13475.10426557
769,20,10,4293.27097469
770,20,11,1840.36790083
771,20,12,7349.74068882
772,20,13,9414.06792896
773,20,14,10533.45949518
774,20,15,23624.34608328
775,20,16,8278.21639785
776,20,17,17961.9722032
777,20,18,6488.80237043
778,20,19,3383.13017313
779,20,20,0.0
780,20,21,14265.16284077
781,20,22,27166.4626081
782,20,23,16445.61929379
783,20,24,22026.56767285
784,20,25,5071.87178715
785,20,26,30726.29842431
786,20,27,13583.94520083
787,20,28,12152.72030364
788,20,29,20067.27993237
789,20,30,19245.86476019
790,20,31,19088.81526671
791,20,32,19463.7149206
792,20,33,21591.3547883
793,20,34,26773.26036221
794,20,35,28230.7997073
795,20,36,23559.58632064
796,20,37,19249.06496077
797,20,38,19680.08273665
798,20,39,19145.02355819
799,20,40,19406.66163254
800,21,1,30480.86048977
801,21,2,28905.22070396
802,21,3,26032.94678328
803,21,4,13069.0973638
804,21,5,13735.73055715
805,21,6,21435.19517153
806,21,7,13302.42775742
807,21,8,24520.62060783
808,21,9,27416.0028599
809,21,10,18528.46139137
810,21,11,15943.22570348
811,21,12,7327.06172268
812,21,13,5137.01231288
813,21,14,4228.56058589
814,21,15,9583.56132908
815,21,16,6341.03279512
816,21,17,3791.659645
817,21,18,8174.71702422
818,21,19,11611.89314289
