id,city,line_o,station_o,line_d,station_d,line1,line2,line3,line4,line5,line6,transfer1,transfer2,transfer3,transfer4,transfer5,HH1,MM1,SS1,HH2,MM2,SS2,d_time,nroutes,choice,age
131,sh,LINE 10A,GUOFAN ROAD,LINE 10A,TONGJI UNIVERSITY,LINE 10A,,,,,,,,,,,17,39,54,17,58,30,1116,1,3,2
132,sh,LINE 4,SHANGHAI INDOOR STADIUM,LINE 8,LUJIABANG ROAD,LINE 4,LINE 8,,,,,SOUTH XIZANG ROAD,,,,,14,34,9,14,56,7,1318,2,1,4
133,sh,LINE 1,JINJIANG PARK,LINE 1,SHANGHAI INDOOR STADIUM,LINE 1,,,,,,,,,,,13,49,34,14,2,47,793,1,1,4
134,sh,LINE 2,WEST NANJING ROAD,LINE 12,GUDAI ROAD,LINE 12,,,,,,,,,,,13,47,57,14,23,53,2156,1,1,4
135,sh,LINE 15,GUILIN PARK,LINE 15,WEST MEILING ROAD,LINE 15,,,,,,,,,,,9,50,14,10,15,27,1513,1,1,4
136,sh,LINE 8,JIANGPU ROAD,LINE 10A,TONGJI UNIVERSITY,LINE 8,LINE 10A,,,,,SIPING ROAD,,,,,21,17,28,22,18,49,3681,2,2,2
137,sh,LINE 14,WUNING ROAD,LINE 10A,TONGJI UNIVERSITY,LINE 14,LINE 10A,,,,,YUYUAN GARDEN,,,,,16,54,52,17,30,18,2126,2,3,2
138,sh,LINE 13,MIDDLE HUAIHAI ROAD,LINE 6,BOXING ROAD,LINE 13,LINE 9,LINE 6,,,,MADANG ROAD,CENTURY AVENUE,,,,15,28,53,16,15,54,2821,3,3,3
139,sh,LINE 10A,TIANTONG ROAD,LINE 10A,THE FIRST CPC NATIONAL CONGRESS·XINTIANDI,LINE 10A,-3,-3,,,,,,,,,14,20,40,14,33,30,770,1,3,4
140,sh,LINE 13,MIDDLE HUAIHAI ROAD,LINE 9,JINQIAO,LINE 13,LINE 9,-3,,,,MADANG ROAD,,,,,21,51,47,22,36,2,2655,2,3,4
141,sh,LINE 6,BOXING ROAD,LINE 10A,TIANTONG ROAD,LINE 6,LINE 12,,,,,JUFENG ROAD,,,,,13,30,42,14,10,55,2413,2,3,4
142,sh,LINE 10A,TONGJI UNIVERSITY,LINE 2,JIANGSU ROAD,LINE 10A,LINE 2,-3,,,,EAST NANJING ROAD,,,,,10,42,47,11,21,36,2329,2,3,2
143,sh,LINE 18,FUSHUN ROAD,LINE 2,PUDONG INTERNATIONAL AIRPORT,LINE 18,LINE 2,-3,,,,LONGYANG ROAD,,,,,6,3,13,7,21,18,4685,2,3,2
144,sh,LINE 2,PUDONG INTERNATIONAL AIRPORT,LINE 10A,TONGJI UNIVERSITY,LINE 2,LINE 10A,-3,,,,EAST NANJING ROAD,,,,,12,25,59,13,50,27,5068,2,3,2
145,sh,LINE 15,YONGDE ROAD,LINE 15,LOUSHANGUAN ROAD,LINE 15,-3,-3,,,,,,,,,9,52,57,10,35,14,2537,1,3,3
146,sh,LINE 3,DABAI ROAD,LINE 15,YONGDE ROAD,LINE 3,LINE 15,-3,,,,SHANGHAI SOUTH RAILWAY STATION,,,,,20,36,1,21,57,22,4881,2,3,3
147,sh,LINE 1,SHANGHAI RAILWAY STATION,LINE 15,YONGDE ROAD,LINE 1,LINE 15,-3,,,,SHANGHAI SOUTH RAILWAY STATION,,,,,7,34,10,8,35,34,3684,2,3,3
148,sh,LINE 15,YONGDE ROAD,LINE 3,DABAI ROAD,LINE 15,LINE 3,-3,,,,SHANGHAI SOUTH RAILWAY STATION,,,,,17,40,54,19,20,18,5964,2,3,3
149,sh,LINE 12,HANZHONG ROAD,LINE 12,JIANGPU PARK,LINE 12,-3,-3,,,,,,,,,15,54,37,16,14,2,1165,1,1,2
150,sh,LINE 10A,SHUANGJIANG ROAD,LINE 10A,TONGJI UNIVERSITY,LINE 10A,-3,-3,,,,,,,,,8,23,21,8,47,33,1452,1,1,6
151,sh,LINE 10A,TONGJI UNIVERSITY,LINE 10A,SHUANGJIANG ROAD,LINE 10A,-3,-3,,,,,,,,,17,42,8,18,8,50,1602,1,1,4
152,sh,LINE 1,XINZHUANG,LINE 8,JIANGPU ROAD,LINE 1,LINE 8,-3,,,,PEOPLE'S SQUARE,,,,,6,50,13,7,45,49,3336,2,3,4
153,sh,LINE 8,JIANGPU ROAD,LINE 1,XINZHUANG,LINE 8,LINE 1,,,,,PEOPLE'S SQUARE,,,,,17,37,21,18,30,16,3175,3,3,4
154,sh,LINE 1,XINZHUANG,LINE 15,GUILIN PARK,LINE 1,LINE 15,-3,,,,SHANGHAI SOUTH RAILWAY STATION,,,,,7,58,30,8,26,36,1686,2,3,5
155,sh,LINE 15,GUILIN PARK,LINE 1,XINZHUANG,LINE 15,LINE 1,-3,,,,SHANGHAI SOUTH RAILWAY STATION,,,,,15,59,32,16,28,38,1746,2,3,5
156,sh,LINE 10A,HAILUN ROAD,LINE 8,JIANGPU ROAD,LINE 10A,LINE 8,-3,,,,SIPING ROAD,,,,,14,58,0,15,14,0,960,2,3,4
157,sh,LINE 4,NANPU BRIDGE,LINE 1,XINZHUANG,LINE 4,LINE 1,-3,,,,SHANGHAI INDOOR STADIUM,,,,,17,54,0,18,31,0,2220,2,3,4
158,sh,LINE 12,WEST NANJING ROAD,LINE 8,HONGKOU FOOTBALL STADIUM,LINE 12,LINE 8,-3,,,,QUFU ROAD,,,,,17,15,4,17,34,38,1174,2,3,4
159,sh,LINE 8,HONGKOU FOOTBALL STADIUM,LINE 12,WEST NANJING ROAD,LINE 8,LINE 12,-3,,,,QUFU ROAD,,,,,8,40,4,8,58,43,1119,2,3,4
160,sh,LINE 7,CHANGQING ROAD,LINE 4,DONG'AN ROAD,LINE 7,LINE 4,-3,,,,DONG'AN ROAD,,,,,17,1,55,17,30,38,1723,2,3,2
161,sh,LINE 3,WEST YINGAO ROAD,LINE 3,WEST YANAN ROAD,LINE 3,-3,-3,,,,,,,,,10,2,13,10,40,34,2301,1,1,2
162,sh,LINE 3,WEST YANAN ROAD,LINE 3,WEST YINGAO ROAD,LINE 3,-3,-3,,,,,,,,,8,7,34,8,46,40,2346,1,1,2
163,sh,LINE 9,CAOHEJING HI-TECH PARK,LINE 9,JIUTING,LINE 9,-3,-3,,,,,,,,,20,18,7,20,34,7,960,1,1,2
164,sh,LINE 9,GUILIN ROAD,LINE 9,JIUTING,LINE 9,-3,-3,,,,,,,,,17,40,34,17,59,31,1137,1,1,2
165,sh,LINE 9,JIUTING,LINE 9,GUILIN ROAD,LINE 9,-3,-3,,,,,,,,,12,40,44,13,0,35,1191,1,3,2
166,sh,LINE 9,JIUTING,LINE 9,SHANGCHENG ROAD,LINE 9,-3,-3,,,,,,,,,15,9,53,15,55,16,2723,1,1,2
167,sh,LINE 9,JIUTING,LINE 9,CAOHEJING HI-TECH PARK,LINE 9,-3,-3,,,,,,,,,18,41,6,19,0,5,1139,1,1,2
168,sh,LINE 12,CAOBAO ROAD,LINE 12,GUILIN PARK,LINE 12,-3,-3,,,,,,,,,21,1,30,21,7,31,361,1,1,2
169,sh,LINE 12,GUILIN PARK,LINE 12,CAOBAO ROAD,LINE 12,-3,-3,,,,,,,,,18,32,9,18,38,1,352,1,1,2
170,sh,LINE 10A,YUYUAN GARDEN,LINE 7,CHANGQING ROAD,LINE 10A,LINE 8,LINE 7,,,,LAOXIMEN,YAOHUA ROAD,,,,15,57,49,16,19,26,1297,3,3,2
171,sh,LINE 1,THE FIRST CPC NATIONAL CONGRESS·SOUTH HUANGPI ROAD,LINE 4,WEST YANAN ROAD,LINE 1,LINE 4,-3,,,,SHANGHAI INDOOR STADIUM,,,,,16,59,51,17,30,23,1832,2,3,2
172,sh,LINE 3,WEST YANAN ROAD,LINE 10A,YUYUAN GARDEN,LINE 3,LINE 10A,-3,,,,HONGQIAO ROAD,,,,,15,2,38,15,29,55,1637,2,2,2
173,sh,LINE 2,HONGQIAO AIRPORT TERMINAL 2,LINE 2,ZHONGSHAN PARK,LINE 2,-3,-3,,,,,,,,,9,21,37,9,44,22,1365,1,1,2
174,sh,LINE 2,LUJIAZUI,LINE 9,JIUTING,LINE 2,LINE 9,-3,,,,CENTURY AVENUE,,,,,19,28,22,20,25,11,3409,2,2,2
175,sh,LINE 12,GUILIN PARK,LINE 9,ZHAOJIABANG ROAD,LINE 12,LINE 9,-3,,,,JIASHAN ROAD,,,,,19,26,54,19,51,14,1460,2,2,2
176,sh,LINE 15,TONGCHUAN ROAD,LINE 15,LOUSHANGUAN ROAD,LINE 15,-3,-3,,,,,,,,,14,18,42,14,31,48,786,1,1,2
177,sh,LINE 2,GUANGLAN ROAD,LINE 2,LOUSHANGUAN ROAD,LINE 2,-3,-3,,,,,,,,,10,56,2,11,42,38,2796,1,1,2
178,sh,LINE 2,GUANGLAN ROAD,LINE 7,HUAMU ROAD,LINE 2,LINE 7,-3,,,,LONGYANG ROAD,,,,,13,34,38,13,54,26,1188,2,2,2
179,sh,LINE 7,YAOHUA ROAD,LINE 2,GUANGLAN ROAD,LINE 7,LINE 2,-3,,,,LONGYANG ROAD,,,,,21,56,25,22,30,58,2073,2,2,2
180,sh,LINE 2,WEST NANJING ROAD,LINE 2,GUANGLAN ROAD,LINE 2,-3,-3,,,,,,,,,22,40,41,23,17,44,2223,1,1,2
181,sh,LINE 13,ZHENBEI ROAD,LINE 12,WEST NANJING ROAD,LINE 13,LINE 12,-3,,,,HANZHONG ROAD,,,,,22,8,39,22,35,51,1632,2,3,2
182,sh,LINE 2,JINKE ROAD,LINE 2,GUANGLAN ROAD,LINE 2,-3,-3,,,,,,,,,19,25,54,19,32,59,425,1,1,2
183,sh,LINE 2,GUANGLAN ROAD,LINE 2,LOUSHANGUAN ROAD,LINE 2,-3,-3,,,,,,,,,15,16,31,16,2,12,2741,1,1,2
184,sh,LINE 15,LOUSHANGUAN ROAD,LINE 15,TONGCHUAN ROAD,LINE 15,-3,-3,,,,,,,,,16,9,33,16,25,25,952,1,1,2
185,sh,LINE 2,GUANGLAN ROAD,LINE 8,ORIENTAL SPORTS CENTER,LINE 2,LINE 7,LINE 8,,,,LONGYANG ROAD,YAOHUA ROAD,,,,10,8,45,10,53,35,2690,3,2,2
186,sh,LINE 2,GUANGLAN ROAD,LINE 15,ZIZHU HI-TECH PARK,LINE 2,LINE 9,LINE 15,,,,CENTURY AVENUE,GUILIN ROAD,,,,10,9,32,11,52,0,6148,3,2,2
187,sh,LINE 15,YONGDE ROAD,LINE 2,EAST NANJING ROAD,LINE 15,LINE 2,-3,,,,LOUSHANGUAN ROAD,,,,,15,38,27,16,54,40,4573,2,2,2
188,sh,LINE 2,LOUSHANGUAN ROAD,LINE 2,GUANGLAN ROAD,LINE 2,-3,-3,,,,,,,,,14,43,4,15,29,4,2760,1,1,2
189,sh,LINE 15,LOUSHANGUAN ROAD,LINE 15,TONGCHUAN ROAD,LINE 15,-3,-3,,,,,,,,,11,49,49,12,1,30,701,1,1,2
190,sh,LINE 18,YUQIAO,LINE 8,ANSHAN XINCUN,LINE 18,LINE 8,-3,,,,JIANGPU ROAD,,,,,19,22,37,19,59,11,2194,2,3,3
191,sh,LINE 6,ZHOUHAI ROAD,LINE 18,YUQIAO,LINE 6,LINE 18,-3,,,,MINSHENG ROAD,,,,,8,5,49,8,51,52,2763,2,3,3
192,sz,LINE 6,SCIENCE MUSEUM,LINE 6,SHENZHEN NORTH STATION,LINE 6,-3,-3,-3,,,,,,,,14,12,22,14,48,31,2169,1,3,3
193,sz,LINE 5,TANGLANG,LINE 6,GUANGMING STREET,LINE 5,LINE 6,,,,,SHENZHEN NORTH STATION,,,,,20,18,57,21,5,1,2764,1,1,3
194,sz,LINE 3,SHOPPING PARK,LINE 2 (LINE 8),JINGTIAN,LINE 3,LINE 2 (LINE 8),,,,,FUTIAN,,,,,21,43,27,21,54,9,642,3,1,3
195,sz,LINE 5,LINGZHI,LINE 5,TANGLANG,LINE 5,-3,-3,-3,,,,,,,,9,24,11,9,44,15,1204,1,1,2
196,sz,LINE 5,LINGZHI,LINE 5,MINZHI,LINE 5,-3,-3,-3,,,,,,,,10,27,52,10,54,46,1614,1,2,2
197,sz,LINE 2 (LINE 8),JINGTIAN,LINE 2 (LINE 8),WANXIA,LINE 2 (LINE 8),-3,-3,-3,,,,,,,,18,7,40,18,41,57,2057,1,1,4
198,sz,LINE 11,AIRPORT,LINE 1,ZHUZILIN,LINE 11,LINE 1,-3,-3,,,CHEGONGMIAO,,,,,12,58,31,13,43,4,2673,2,3,4
199,sz,LINE 9,LITCHI ORCHARDS,LINE 9,HIGH-TECH SOUTH,LINE 9,-3,-3,,,,,,,,,8,19,0,8,35,0,960,1,1,2
200,sz,LINE 9,LITCHI ORCHARDS,LINE 9,HIGH-TECH SOUTH,LINE 9,-3,-3,,,,,,,,,9,4,0,9,9,0,300,1,1,2
201,sz,LINE 9,HIGH-TECH SOUTH,LINE 3,CUIZHU,LINE 9,LINE 11,LINE 3,,,,HONGSHUWAN SOUTH,FUTIAN,,,,13,15,0,13,59,0,2640,3,2,2
202,sz,LINE 3,CUIZHU,LINE 9,HIGH-TECH SOUTH,LINE 3,LINE 11,LINE 9,,,,FUTIAN,HONGSHUWAN SOUTH,,,,14,39,0,15,23,0,2640,3,2,2
203,sz,LINE 1,TAOYUAN,LINE 5,SHENZHEN NORTH STATION,LINE 1,LINE 5,-3,,,,BAO'AN CENTER,,,,,9,29,0,10,51,0,4920,2,2,2
204,sz,LINE 9,RENMIN SOUTH,LINE 9,HIGH-TECH SOUTH,LINE 9,-3,-3,,,,,,,,,8,24,0,9,16,0,3120,1,2,2
205,sz,LINE 9,HIGH-TECH SOUTH,LINE 3,CUIZHU,LINE 9,LINE 11,LINE 3,,,,HONGSHUWAN SOUTH,FUTIAN,,,,15,32,0,16,10,0,2280,3,2,2
206,sz,LINE 9,HIGH-TECH SOUTH,LINE 9,NANYOU,LINE 9,-3,-3,,,,,,,,,17,46,0,17,58,0,720,1,2,2
207,sz,LINE 9,HIGH-TECH SOUTH,LINE 4,SHENZHEN NORTH STATION,LINE 9,LINE 4,-3,,,,SHANGMEILIN,,,,,16,47,0,17,34,0,2820,2,2,2
208,sz,LINE 7,CHAGUANG,LINE 5,UNIVERSITY TOWN,LINE 7,LINE 5,-3,,,,XILI,,,,,19,35,8,19,46,0,652,2,3,2
209,sz,LINE 5,TANGLANG,LINE 7,XILI LAKE,LINE 5,LINE 7,-3,,,,XILI,,,,,21,57,5,22,18,48,1303,2,3,2
210,sz,LINE 7,XILI LAKE,LINE 7,CHAGUANG,LINE 7,-3,-3,,,,,,,,,8,20,35,8,26,45,370,1,1,2
211,sz,LINE 7,XILI LAKE,LINE 7,CHAGUANG,LINE 7,-3,-3,,,,,,,,,15,46,4,15,55,15,551,1,1,2
212,sz,LINE 2 (LINE 8),SHEKOU PORT,LINE 7,XILI LAKE,LINE 2 (LINE 8),LINE 7,-3,,,,ANTUO HILL,,,,,20,42,36,21,39,12,3396,2,2,2
213,sz,LINE 1,GANGXIA,LINE 7,XILI LAKE,LINE 1,LINE 7,-3,,,,CHEGONGMIAO,,,,,21,37,17,22,24,50,2853,2,3,2
214,sz,LINE 7,XILI LAKE,LINE 1,GANGXIA,LINE 7,LINE 1,-3,,,,CHEGONGMIAO,,,,,17,25,46,18,8,37,2571,2,3,2
215,sz,LINE 2 (LINE 8),SEA WORLD,LINE 7,XILI LAKE,LINE 2 (LINE 8),LINE 7,-3,,,,ANTUO HILL,,,,,21,50,17,22,48,15,3478,2,3,2
216,sz,LINE 7,XILI LAKE,LINE 9,NANYOU WEST,LINE 7,LINE 5,LINE 9,,,,XILI,QIANWAN,,,,18,2,4,18,47,39,2735,3,2,2
217,sz,LINE 5,FANSHEN,LINE 7,XILI LAKE,LINE 5,LINE 7,-3,,,,XILI,,,,,23,11,15,23,44,31,1996,2,3,2
218,sz,LINE 5,TANGLANG,LINE 5,FANSHEN,LINE 5,-3,-3,,,,,,,,,18,51,51,19,15,49,1438,1,3,2
219,sz,LINE 9,NANYOU WEST,LINE 5,FANSHEN,LINE 9,LINE 5,-3,,,,QIANWAN,,,,,19,23,10,19,47,34,1464,2,3,2
220,sz,LINE 2 (LINE 8),JINGTIAN,LINE 3,YITIAN,LINE 2 (LINE 8),LINE 3,-3,,,,FUTIAN,,,,,19,34,15,19,54,0,1185,2,3,2
221,sz,LINE 1,SHENZHEN UNIVERSITY,LINE 5,FANSHEN,LINE 1,LINE 5,-3,,,,BAO'AN CENTER,,,,,19,15,26,19,41,16,1550,2,1,2
222,sz,LINE 5,FANSHEN,LINE 5,HONGLANG NORTH,LINE 5,-3,-3,,,,,,,,,18,18,31,19,18,13,3582,1,1,2
223,sz,LINE 1,SHOPPING PARK,LINE 1,XIN'AN,LINE 1,-3,-3,,,,,,,,,22,58,15,23,34,37,2182,1,1,2
224,sz,LINE 1,TAOYUAN,LINE 3,YITIAN,LINE 1,LINE 3,-3,,,,SHOPPING PARK,,,,,7,42,20,8,20,32,2292,2,2,2
225,sz,LINE 1,SHOPPING PARK,LINE 1,TAOYUAN,LINE 1,-3,-3,,,,,,,,,16,32,10,16,58,6,1556,1,1,2
226,sz,LINE 2 (LINE 8),YANNAN,LINE 2 (LINE 8),HUAQIANG NORTH,LINE 2 (LINE 8),-3,-3,,,,,,,,,18,1,21,18,5,18,237,1,1,2
227,sz,LINE 9,SHENZHEN UNIVERSITY SOUTH,LINE 5,SHANGSHUIJING,LINE 9,LINE 5,-3,,,,QIANWAN,,,,,19,58,51,21,10,25,4294,2,2,2
228,sz,LINE 7,CHIWEI,LINE 2 (LINE 8),SEA WORLD,LINE 7,LINE 2 (LINE 8),-3,,,,ANTUO HILL,,,,,18,55,37,19,52,23,3406,2,2,2
229,sz,LINE 4,FUMIN,LINE 1,SHENZHEN UNIVERSITY,LINE 4,LINE 1,-3,,,,CONVENTION & EXHIBITION CENTER,,,,,22,38,45,23,11,41,1976,2,2,2
230,sz,LINE 6,MEILINGUAN,LINE 9,XIASHA,LINE 6,LINE 9,-3,,,,YINHU,,,,,8,19,32,8,58,53,2361,2,3,2
231,sz,LINE 5,BAO'AN CENTER,LINE 5,SHANGSHUIJING,LINE 5,-3,-3,,,,,,,,,21,9,48,21,53,37,2629,1,3,2
232,sz,LINE 5,SHANGSHUIJING,LINE 1,GUSHU,LINE 5,LINE 1,-3,,,,BAO'AN CENTER,,,,,13,17,29,14,15,44,3495,2,1,2
233,sz,LINE 5,SHANGSHUIJING,LINE 5,XINGDONG,LINE 5,-3,-3,,,,,,,,,13,21,39,13,58,49,2230,1,3,2
234,sz,LINE 5,SHANGSHUIJING,LINE 9,XIASHA,LINE 5,LINE 7,LINE 9,,,,TAI'AN,HONGLING NORTH,,,,7,27,56,8,27,11,3555,3,2,2
235,sz,LINE 7,CHEGONGMIAO,LINE 7,XILI LAKE,LINE 7,-3,-3,,,,,,,,,20,2,44,20,33,1,1817,1,3,2
236,sz,LINE 1,CONVENTION & EXHIBITION CENTER,LINE 1,CHEGONGMIAO,LINE 1,-3,-3,,,,,,,,,19,20,56,19,34,44,828,1,1,2
237,sz,LINE 5,WUHE,LINE 5,SHANGSHUIJING,LINE 5,-3,-3,,,,,,,,,8,38,58,8,49,10,612,1,3,3
238,sz,LINE 5,UNIVERSITY TOWN,LINE 4,CHILDREN'S PALACE,LINE 5,LINE 4,-3,,,,SHENZHEN NORTH STATION,,,,,7,59,53,8,37,8,2235,2,3,3
239,sz,LINE 5,SHANGSHUIJING,LINE 5,WUHE,LINE 5,-3,-3,,,,,,,,,18,26,42,18,38,46,724,1,3,3
240,sz,LINE 1,GUOMAO,LINE 1,TAOYUAN,LINE 1,-3,-3,,,,,,,,,19,7,12,19,47,41,2429,1,1,2
241,sz,LINE 1,GUSHU,LINE 1,TAOYUAN,LINE 1,-3,-3,,,,,,,,,20,52,21,21,19,22,1621,1,1,2
242,sz,LINE 1,GUOMAO,LINE 1,TAOYUAN,LINE 1,-3,-3,,,,,,,,,21,28,8,22,10,25,2537,1,1,2
243,sz,LINE 1,HUAQIANG ROAD,LINE 1,LAOJIE,LINE 1,-3,-3,,,,,,,,,16,50,27,17,0,49,622,1,1,2
244,sz,LINE 1,LAOJIE,LINE 1,TAOYUAN,LINE 1,-3,-3,,,,,,,,,18,59,51,19,39,58,2407,1,1,2
245,sz,LINE 2 (LINE 8),SHUIWAN,LINE 1,TAOYUAN,LINE 2 (LINE 8),LINE 1,-3,,,,WINDOW OF THE WORLD,,,,,21,49,49,22,27,9,2240,2,3,2
246,sz,LINE 1,TAOYUAN,LINE 1,GUOMAO,LINE 1,-3,-3,,,,,,,,,16,29,15,17,10,42,2487,1,1,2
247,sz,LINE 1,TAOYUAN,LINE 1,HUAQIANG ROAD,LINE 1,-3,-3,,,,,,,,,15,16,6,15,57,41,2495,1,1,2
248,sz,LINE 2 (LINE 8),SEA WORLD,LINE 1,HI-TECH PARK,LINE 2 (LINE 8),LINE 1,-3,,,,WINDOW OF THE WORLD,,,,,20,18,26,20,50,41,1935,2,1,2
249,sz,LINE 1,BAO'AN CENTER,LINE 1,HI-TECH PARK,LINE 1,-3,-3,,,,,,,,,18,56,13,19,16,28,1215,1,1,2
250,sz,LINE 1,PINGZHOU,LINE 1,HI-TECH PARK,LINE 1,-3,-3,,,,,,,,,14,38,29,15,1,46,1397,1,1,2
251,sz,LINE 2 (LINE 8),WINDOW OF THE WORLD,LINE 5,UNIVERSITY TOWN,LINE 2 (LINE 8),LINE 7,LINE 5,,,,ANTUO HILL,XILI,,,,18,46,39,19,20,35,2036,3,3,2
252,sz,LINE 1,HI-TECH PARK,LINE 3,FUTIAN BONDED AREA,LINE 1,LINE 3,-3,,,,SHOPPING PARK,,,,,15,37,56,16,16,24,2308,2,3,2
253,sz,LINE 3,FUTIAN BONDED AREA,LINE 1,HI-TECH PARK,LINE 3,LINE 1,-3,,,,SHOPPING PARK,,,,,16,46,16,17,22,32,2176,2,3,2
254,sz,LINE 9,HIGH-TECH SOUTH,LINE 9,NANSHAN BOOK MALL,LINE 9,-3,-3,,,,,,,,,18,20,15,18,31,33,678,1,1,2
255,sz,LINE 2 (LINE 8),SEA WORLD,LINE 1,HI-TECH PARK,LINE 2 (LINE 8),LINE 1,-3,,,,WINDOW OF THE WORLD,,,,,16,29,33,17,1,44,1931,2,1,2
256,sz,LINE 1,SHENZHEN UNIVERSITY,LINE 1,TAOYUAN,LINE 1,-3,-3,,,,,,,,,18,53,0,19,1,11,491,1,1,2
257,sz,LINE 5,XILI,LINE 5,HONGLANG NORTH,LINE 5,-3,-3,,,,,,,,,8,21,41,8,32,59,678,1,3,3
258,sz,LINE 9,CHEGONGMIAO,LINE 6,YANGTAI MOUNTAIN EAST,LINE 9,LINE 6,-3,,,,YINHU,,,,,11,17,54,12,7,31,2977,2,3,2
259,sz,LINE 9,NANYOU,LINE 9,JINGTIAN,LINE 9,-3,-3,,,,,,,,,13,37,16,14,12,31,2115,1,1,3
260,sz,LINE 2 (LINE 8),JINGTIAN,LINE 2 (LINE 8),DENGLIANG,LINE 2 (LINE 8),-3,-3,,,,,,,,,16,14,7,16,43,51,1784,1,1,3
261,sz,LINE 2 (LINE 8),DENGLIANG,LINE 7,SHENYUN,LINE 2 (LINE 8),LINE 7,-3,,,,ANTUO HILL,,,,,17,28,51,18,1,34,1963,2,3,2
262,sz,LINE 7,SHENYUN,LINE 2 (LINE 8),QIAOCHENG NORTH,LINE 7,LINE 2 (LINE 8),-3,,,,ANTUO HILL,,,,,17,28,51,18,1,34,1963,2,3,2
263,sz,LINE 2 (LINE 8),QIAOCHENG NORTH,LINE 2 (LINE 8),DENGLIANG,LINE 2 (LINE 8),-3,-3,,,,,,,,,21,47,28,22,10,58,1410,1,3,2
264,sz,LINE 1,SHENZHEN UNIVERSITY,LINE 2 (LINE 8),JINGTIAN,LINE 1,LINE 2 (LINE 8),-3,,,,WINDOW OF THE WORLD,,,,,7,55,39,8,23,30,1671,2,3,2
265,sz,LINE 2 (LINE 8),JINGTIAN,LINE 1,HI-TECH PARK,LINE 2 (LINE 8),LINE 1,-3,,,,WINDOW OF THE WORLD,,,,,12,29,39,12,56,55,1636,2,3,2
266,sz,LINE 1,SHENZHEN UNIVERSITY,LINE 5,TANGLANG,LINE 1,LINE 5,-3,,,,BAO'AN CENTER,,,,,12,2,30,12,45,56,2606,2,3,2
267,sz,LINE 7,XILI LAKE,LINE 1,SHENZHEN UNIVERSITY,LINE 7,LINE 2 (LINE 8),LINE 1,,,,ANTUO HILL,WINDOW OF THE WORLD,,,,18,33,55,19,10,1,2166,3,3,2
268,sz,LINE 9,NANYOU,LINE 9,HIGH-TECH SOUTH,LINE 9,-3,-3,,,,,,,,,14,40,31,14,54,12,821,1,3,2
269,sz,LINE 9,HIGH-TECH SOUTH,LINE 9,NANYOU,LINE 9,-3,-3,,,,,,,,,17,10,33,17,22,22,709,1,1,2
270,sz,LINE 9,NANYOU,LINE 11,FUTIAN,LINE 9,LINE 11,-3,,,,HONGSHUWAN SOUTH,,,,,15,21,3,15,50,25,1762,2,3,2
271,sz,LINE 2 (LINE 8),DENGLIANG,LINE 2 (LINE 8),QIAOCHENG NORTH,LINE 2 (LINE 8),-3,-3,,,,,,,,,17,26,40,17,44,23,1063,1,1,2
272,sz,LINE 7,LONGJING,LINE 9,NANYOU,LINE 7,LINE 9,-3,,,,CHEGONGMIAO,,,,,21,21,13,22,3,9,2516,2,3,2
